name,category,calories,protein,fat,carbs
"Cheese, mozzarella, whole milk",Snack,299,22.2,22.1,2.4
"Cheese, mozzarella, whole milk, low moisture",Snack,318,21.6,24.6,2.47
"Cheese, mozzarella, part skim milk",Snack,1060,24.3,15.9,2.77
"Cheese, parmesan, hard",Snack,392,35.8,25,3.22
"Cheese, port de salut",Snack,352,23.8,28.2,0.57
"Cheese, provolone",Snack,1470,25.6,26.6,2.14
"Cheese, ricotta, whole milk",Snack,150,7.54,10.2,7.27
"Cheese, tilsit",Snack,340,24.4,26,1.88
"Cheese, pasteurized process, American, fortified with vitamin D",Snack,366,18.1,30.7,4.78
"Cheese, pasteurized process, pimento",Snack,1570,22.1,31.2,1.73
"Cheese, pasteurized process, swiss",Snack,334,24.7,25,2.1
"Cheese food, cold pack, American",Snack,331,19.7,24.5,8.32
"Cream, fluid, light (coffee cream or table cream)",Snack,815,2.96,19.1,3.66
"Cream, fluid, light whipping",Snack,1220,2.17,30.9,2.96
"Cream, fluid, heavy whipping",Snack,1420,2.84,36.1,2.84
"Cream, whipped, cream topping, pressurized",Snack,1080,3.2,22.2,12.5
"Milk, filled, fluid, with blend of hydrogenated vegetable oils",Snack,63,3.33,3.46,4.74
"Milk, filled, fluid, with lauric acid oil",Snack,63,3.33,3.4,4.74
"Cheese, American, nonfat or fat free",Snack,126,21,0,10.5
"Yogurt, Greek, 2% fat, apricot, CHOBANI",Snack,388,7.22,1.71,12.2
"Dessert topping, powdered",Snack,577,4.9,39.9,52.5
"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",Snack,194,3.61,12.7,17.1
"Dessert topping, pressurized",Snack,264,0.98,22.3,16.1
"Dessert topping, semi solid, frozen",Snack,318,1.25,25.3,23
"Sour cream, imitation, cultured",Snack,208,2.4,19.5,6.63
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",Snack,51,3.48,1.92,4.97
"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",Snack,56,3.95,1.98,5.49
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Snack,42,3.37,0.97,4.99
"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",Snack,43,3.48,0.97,4.97
"Milk, buttermilk, fluid, cultured, lowfat",Snack,40,3.31,1.07,4.79
"Milk, low sodium, fluid",Snack,61,3.1,3.46,4.46
"Milk, dry, whole, with added vitamin D",Snack,496,26.3,26.7,38.4
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",Snack,1520,36.2,0.77,52
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",Snack,78,7.55,0.2,11.4
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",Snack,349,3.17,3.39,10.3
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",Snack,76,2.99,1.9,12.1
"Milk, chocolate, lowfat, with added vitamin A and vitamin D",Snack,64,3.46,1.11,10.2
"Milk, sheep, fluid",Snack,108,5.98,7,5.36
"Milk shakes, thick chocolate",Snack,119,3.05,2.7,21.2
"Milk shakes, thick vanilla",Snack,112,3.86,3.03,17.8
"Whey, acid, fluid",Snack,100,0.76,0.09,5.12
"Yogurt, plain, low fat",Snack,63,5.25,1.55,7.04
"Yogurt, plain, skim milk",Snack,233,5.73,0.18,7.68
"Yogurt, vanilla, low fat.",Snack,85,4.93,1.25,13.8
"Yogurt, fruit, low fat,9 g protein/8 oz",Snack,415,3.98,1.15,18.6
"Milk dessert bar, frozen, made from lowfat milk",Snack,615,4.41,1.47,32
"Yogurt, Greek, 2% fat,mixed berry blend, CHOBANI",Snack,93,8.26,1.83,10.9
"Nutritional supplement for people with diabetes, liquid",Snack,88,4.4,3.08,11.9
"Egg, whole, raw, frozen, salted, pasteurized",Snack,577,11,10.1,0.83
"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",Snack,59,10.2,0.39,3.6
"Egg, white, dried, stabilized, glucose reduced",Snack,357,84.1,0.32,4.51
"Cheese spread, American or Cheddar cheese base, reduced fat",Snack,738,13.4,8.88,10.7
"Cheese, Swiss, nonfat or fat free",Snack,127,28.4,0,3.4
"Cheese, mexican, queso cotija",Snack,1530,20,30,3.97
"Cheese, cheddar, sharp, sliced",Snack,410,24.2,33.8,2.13
"Cheese, mozzarella, low moisture, part-skim, shredded",Snack,1270,23.6,19.7,8.06
"Yogurt, Greek, strawberry, nonfat",Snack,342,8.05,0.15,12.1
"Yogurt, Greek, vanilla, nonfat",Snack,78,8.64,0.18,10.4
"Yogurt, Greek, plain, lowfat",Snack,305,9.95,1.92,3.94
"Kefir, lowfat, plain, LIFEWAY",Snack,43,3.79,1.02,4.77
"Yogurt, Greek, fruit, whole milk",Snack,441,7.33,3,12.3
"Yogurt, vanilla, non-fat",Snack,78,2.94,0,17
"Yogurt, Greek, vanilla, lowfat",Snack,95,8.64,2.5,9.54
"Yogurt, frozen, flavors other than chocolate, lowfat",Snack,139,8,2.5,21
"Yogurt, Greek, 2% fat, pineapple, CHOBANI",Snack,392,7.05,1.82,12.3
"Milk, chocolate, lowfat, reduced sugar",Snack,237,3.43,1.04,7.68
"Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce",Snack,265,5.33,9.33,40
"Yogurt, Greek, 2% fat, strawberry banana, CHOBANI",Snack,88,8,1.71,10.2
"Yogurt, Greek, nonfat, Fruit on Bottom, Pomegranate, CHOBANI",Snack,80,7.45,0.18,12.1
"Yogurt, Greek, Blueberry, CHOBANI",Snack,343,7.23,0.24,12.8
"Yogurt, Greek, nonfat, Fruit on Bottom, Strawberry, CHOBANI",Snack,79,7.28,0.23,11.9
"Yogurt, Greek, nonfat, Fruit on Bottom, Blackberry, CHOBANI",Snack,398,7.54,0.37,15.4
"Spices, bay leaf",Snack,313,7.61,8.36,75
"Spices, caraway seed",Snack,1390,19.8,14.6,49.9
"Spices, cardamom",Snack,1300,10.8,6.7,68.5
"Spices, celery seed",Snack,1640,18.1,25.3,41.4
"Spices, coriander leaf, dried",Snack,1170,21.9,4.78,52.1
"Spices, coriander seed",Snack,1240,12.4,17.8,55
"Spices, cumin seed",Snack,1570,17.8,22.3,44.2
"Spices, curry powder",Snack,1360,14.3,14,55.8
"Spices, dill seed",Snack,1280,16,14.5,55.2
"Spices, ginger, ground",Snack,335,8.98,4.24,71.6
"Spices, mace, ground",Snack,1990,6.71,32.4,50.5
"Spices, marjoram, dried",Snack,1140,12.7,7.04,60.6
"Spices, mustard seed, ground",Snack,508,26.1,36.2,28.1
"Spices, parsley, dried",Snack,292,26.6,5.48,50.6
"Spices, pepper, black",Snack,1050,10.4,3.26,64
"Spices, pepper, red or cayenne",Snack,1330,12,17.3,56.6
"Spices, pepper, white",Snack,1240,10.4,2.12,68.6
"Spices, saffron",Snack,310,11.4,5.85,65.4
"Spices, sage, ground",Snack,1320,10.6,12.8,60.7
"Spices, savory, ground",Snack,272,6.73,5.91,68.7
"Spices, tarragon, dried",Snack,295,22.8,7.24,50.2
"Spices, thyme, dried",Snack,1160,9.11,7.43,63.9
"Babyfood, vegetables, peas, strained",Snack,211,3.27,0.43,8.36
"Babyfood, peas, dices, toddler",Snack,64,3.9,0.8,10.3
"Babyfood, vegetables, spinach, creamed, strained",Snack,37,2.5,1.3,5.7
"Babyfood, fruit, apricot with tapioca, junior",Snack,63,0.3,0,17.3
"Babyfood, fruit, pears, junior",Snack,44,0.3,0.1,11.6
"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",Snack,71,0.1,0,19.7
"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",Snack,310,0.1,0,20.5
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",Snack,69,0.6,0.1,18.5
"Babyfood, fruit, applesauce and apricots, strained",Snack,185,0.2,0.2,11.6
"Babyfood, fruit, applesauce and apricots, junior",Snack,47,0.2,0.2,12.4
"Babyfood, fruit, applesauce and cherries, strained",Snack,213,0,0,14.1
"Babyfood, fruit, applesauce and cherries, junior",Snack,51,0,0,14.1
"Babyfood, fruit, applesauce with banana, junior",Snack,66,0.37,0.1,16.2
"Babyfood, fruit and vegetable, apple and sweet potato",Snack,269,0.3,0.22,15.3
"Babyfood, fruit, bananas and pineapple with tapioca, junior",Snack,68,0.2,0.1,18.4
"Babyfood, fruit, bananas and pineapple with tapioca, strained",Snack,65,0.2,0,17.8
"Babyfood, fruit, pears and pineapple, strained",Snack,41,0.3,0.1,10.9
"Babyfood, fruit, bananas with apples and pears, strained",Snack,83,0.9,0.22,19.3
"Babyfood, fruit, apple and blueberry, strained",Snack,61,0.2,0.2,16.3
"Babyfood, fruit, apple and blueberry, junior",Snack,62,0.2,0.2,16.6
"Babyfood, juice, apple",Snack,47,0,0.1,11.7
"Babyfood, juice, orange and apple and banana",Snack,47,0.4,0.1,11.5
"Babyfood, juice, orange and apricot",Snack,46,0.8,0.1,10.9
"Babyfood, juice, orange and banana",Snack,50,0.7,0.1,11.9
"Babyfood, juice, orange and pineapple",Snack,48,0.5,0.1,11.7
"Babyfood, cereal, mixed, dry fortified",Snack,1670,6.66,6.66,78.2
"Babyfood, cereal, mixed, with bananas, dry",Snack,391,10.7,4.6,77.1
"Babyfood, cereal, mixed, with applesauce and bananas, strained",Snack,82,0.71,0.51,18.4
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",Snack,350,0.71,0.51,18.8
"Babyfood, cereal, oatmeal, with honey, dry",Breakfast,391,13.5,7,69.3
"Babyfood, cereal, rice, dry fortified",Snack,1630,6.65,2.19,83.1
"Babyfood, cereal, rice, with applesauce and bananas, strained",Snack,334,1.2,0.4,17.1
"Babyfood, cereal, with egg yolks, strained",Snack,51,1.9,1.8,7
"Babyfood, crackers, vegetable",Snack,2000,8.4,19.6,66.8
"Babyfood, cereal, high protein, with apple and orange, dry",Snack,374,25.4,6.5,57.6
"Babyfood, cereal, rice, with bananas, dry",Snack,404,8.7,4.2,79.9
"Babyfood, cookies",Snack,433,11.8,13.2,67.1
"Babyfood, dessert, dutch apple, strained",Snack,75,0.2,0.4,19.7
"Babyfood, dessert, dutch apple, junior",Snack,330,0.2,0.16,19.2
"Babyfood, cherry cobbler, junior",Snack,326,0.3,0.1,19.2
"Babyfood, dessert, cherry vanilla pudding, strained",Snack,68,0.2,0.3,17.8
"Babyfood, dessert, peach melba, strained",Snack,60,0.2,0,16.5
"Babyfood, dessert, peach melba, junior",Snack,60,0.3,0,16.4
"Babyfood, dessert, fruit pudding, pineapple, strained",Snack,81,1.3,0.3,20.3
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",Snack,59,0.3,0,16
"Babyfood, juice, fruit punch, with calcium",Snack,52,0.2,0.1,12.7
"Babyfood, juice, apple, with calcium",Snack,191,0.06,0.1,11.1
"Infant Formula, MEAD JOHNSON, ENFAMIL, ENFACARE, ready-to-feed, with ARA and DHA",Snack,306,2,3.8,7.73
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",Snack,98,3.4,3.53,13.2
"Infant formula, ABBOTT NUTRITION, ALIMENTUM ADVANCE, with iron, powder, not reconstituted, with DHA and ARA",Snack,517,14,28.2,51.9
"Babyfood, mashed cheddar potatoes and broccoli, toddlers",Snack,48,1.11,1.47,7.47
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",Snack,92,3.05,3.08,13
"Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, liquid concentrate",Snack,553,3.31,6.67,14.7
"Toddler formula, MEAD JOHNSON, ENFAGROW, Toddler Transitions, with ARA and DHA, powder",Snack,2110,12.9,26.9,52.8
"Toddler formula, MEAD JOHNSON, ENFAGROW PREMIUM (formerly ENFAMIL, LIPIL, NEXT STEP), ready-to-feed",Snack,64,1.78,3.63,7.18
"Infant Formula, MEAD JOHNSON, ENFAMIL, Newborn, with DHA and ARA, ready-to-feed",Snack,285,1.38,3.48,7.81
"Infant formula, GERBER, GOOD START 2 Soy, with iron, ready-to-feed",Snack,65,1.84,3.28,7.15
"Infant formula, GERBER, GOOD START, PROTECT PLUS, ready-to-feed",Snack,273,1.44,3.36,7.17
"Infant Formula, GERBER GOOD START 2, GENTLE PLUS, ready-to-feed",Snack,66,1.44,3.34,7.61
"Babyfood, fruit, banana and strawberry, junior",Snack,109,0.71,0.37,25.8
"Babyfood, banana with mixed berries, strained",Snack,92,1.01,0.36,21.3
"Babyfood, Multigrain whole grain cereal, dry fortified",Snack,1700,6.67,6.67,80.1
"Babyfood, Baby MUM MUM Rice Biscuits",Snack,391,12.5,0.87,83.2
"Salad dressing, KRAFT Mayo Light Mayonnaise",Snack,1400,0.6,32.9,8.5
"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",Snack,64,0.2,0,15.8
"Salad dressing, KRAFT MIRACLE WHIP FREE Nonfat Dressing",Snack,84,0.2,2.7,15.5
"Salad dressing, russian dressing",Snack,1480,0.69,26.2,31.9
"Salad dressing, sesame seed dressing, regular",Snack,443,3.1,45.2,8.6
"Salad dressing, russian dressing, low calorie",Snack,592,0.5,4,27.6
"Salad dressing, thousand island dressing, reduced fat",Snack,815,0.83,11.3,24.1
"Salad dressing, mayonnaise, regular",Snack,680,0.96,74.8,0.57
"Salad dressing, mayonnaise, soybean and safflower oil, with salt",Snack,3000,1.1,79.4,2.7
"Shortening, household, soybean (partially hydrogenated)-cottonseed (partially hydrogenated)",Snack,3700,0,100,0
"Oil, soybean, salad or cooking, (partially hydrogenated)",Snack,3700,0,100,0
"Oil, rice bran",Snack,3700,0,100,0
"Oil, wheat germ",Snack,3700,0,100,0
"Oil, palm",Snack,3700,0,100,0
"Oil, sesame, salad or cooking",Snack,3700,0,100,0
"Oil, sunflower, linoleic (less than 60%)",Snack,3700,0,100,0
"Margarine, regular, hard, soybean (hydrogenated)",Snack,3010,0.9,80.5,0.9
"Salad dressing, italian dressing, commercial, regular",Snack,240,0.41,21.1,12.1
"Salad dressing, french dressing, commercial, regular, without salt",Snack,1920,0.77,44.8,15.6
"Salad dressing, french dressing, reduced fat, without salt",Snack,233,0.58,13.5,29.3
"Salad dressing, italian dressing, commercial, regular, without salt",Snack,1220,0.38,28.4,10.4
"Salad dressing, italian dressing, reduced fat, without salt",Snack,76,0.47,6.38,4.57
"Oil, cottonseed, salad or cooking",Snack,3700,0,100,0
"Oil, sunflower, linoleic, (approx. 65%)",Snack,884,0,100,0
"Oil, safflower, salad or cooking, linoleic, (over 70%)",Snack,3700,0,100,0
"Oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)",Snack,3700,0,100,0
"Oil, grapeseed",Snack,3700,0,100,0
"Oil, corn, industrial and retail, all purpose salad or cooking",Snack,3770,0,100,0
"Oil, walnut",Snack,3700,0,100,0
"Oil, almond",Snack,3700,0,100,0
"Oil, apricot kernel",Snack,3700,0,100,0
"Oil, vegetable, Natreon canola, high stability, non trans, high oleic (70%)",Snack,884,0,100,0
"Salad dressing, honey mustard dressing, reduced calorie",Snack,866,0.98,10,28.3
"Margarine-like spread, BENECOL Light Spread",Snack,357,0,38.7,5.71
"Salad dressing, spray-style dressing, assorted flavors",Snack,165,0.16,10.8,16.6
"Salad Dressing, mayonnaise, light, SMART BALANCE, Omega Plus light",Snack,1390,1.53,34.2,9.39
"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",Snack,533,0.17,59.8,0.86
"Margarine-like vegetable-oil spread, stick/tub/bottle, 60% fat, with added vitamin D",Snack,2240,0.6,59.2,0
"Margarine, regular, 80% fat, composite, stick, without salt, with added vitamin D",Snack,717,0.16,80.7,0.7
"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, without salt, with added vitamin D",Snack,2270,0.17,59.8,0.86
"Oil, industrial, canola, high oleic",Snack,900,0,100,0
"Salad dressing, honey mustard, regular",Snack,464,0.87,40.8,23.3
"Salad dressing, poppyseed, creamy",Snack,1670,0.92,33.3,23.7
"Salad dressing, caesar, fat-free",Snack,547,1.47,0.23,30.7
"Dressing, honey mustard, fat-free",Snack,169,1.07,1.47,38.4
"Chicken, broilers or fryers, meat and skin and giblets and neck, raw",Lunch,213,18.3,14.8,0.13
"Chicken, broilers or fryers, meat and skin and giblets and neck, cooked, fried, batter",Lunch,291,22.8,17.5,9.03
"Chicken, broilers or fryers, meat and skin and giblets and neck, cooked, fried, flour",Lunch,272,28.6,15.3,3.27
"Chicken, broilers or fryers, meat and skin and giblets and neck, roasted",Lunch,234,26.8,13.3,0.06
"Chicken, broilers or fryers, meat and skin, cooked, stewed",Lunch,219,24.7,12.6,0
"Chicken, broilers or fryers, meat only, raw",Lunch,119,21.4,3.08,0
"Chicken, broilers or fryers, meat only, cooked, fried",Lunch,219,30.6,9.12,1.69
"Chicken, broilers or fryers, meat only, cooked, roasted",Lunch,190,28.9,7.41,0
"Chicken, broilers or fryers, skin only, cooked, roasted",Lunch,454,20.4,40.7,0
"Chicken, broilers or fryers, skin only, cooked, stewed",Lunch,363,15.2,33,0
"Chicken, broilers or fryers, giblets, raw",Lunch,124,17.9,4.47,1.8
"Chicken, broilers or fryers, giblets, cooked, fried",Lunch,277,32.5,13.5,4.35
"Chicken, heart, all classes, cooked, simmered",Lunch,185,26.4,7.92,0.1
"Chicken, liver, all classes, raw",Lunch,119,16.9,4.83,0.73
"Chicken, liver, all classes, cooked, simmered",Lunch,167,24.5,6.51,0.87
"Chicken, broilers or fryers, light meat, meat and skin, raw",Lunch,186,20.3,11.1,0
"Chicken, broilers or fryers, dark meat, meat and skin, cooked, fried, batter",Lunch,298,21.8,18.6,9.38
"Chicken, broilers or fryers, dark meat, meat and skin, cooked, fried, flour",Lunch,285,27.2,16.9,4.08
"Chicken, broilers or fryers, dark meat, meat and skin, cooked, roasted",Lunch,253,26,15.8,0
"Chicken, broilers or fryers, dark meat, meat and skin, cooked, stewed",Lunch,233,23.5,14.7,0
"Chicken, broilers or fryers, dark meat, meat only, raw",Lunch,125,20.1,4.31,0
"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",Lunch,239,29,11.6,2.59
"Chicken, broilers or fryers, dark meat, meat only, cooked, roasted",Lunch,205,27.4,9.73,0
"Chicken, broilers or fryers, dark meat, meat only, cooked, stewed",Lunch,192,26,8.98,0
"Chicken, broilers or fryers, back, meat and skin, cooked, roasted",Lunch,300,26,21,0
"Chicken, broilers or fryers, back, meat and skin, cooked, stewed",Lunch,258,22.2,18.1,0
"Chicken, broilers or fryers, back, meat only, raw",Lunch,137,19.6,5.92,0
"Chicken, broilers or fryers, back, meat only, cooked, fried",Lunch,288,30,15.3,5.68
"Chicken, broilers or fryers, breast, meat and skin, cooked, roasted",Lunch,197,29.8,7.78,0
"Chicken, broilers or fryers, breast, meat and skin, cooked, stewed",Lunch,184,27.4,7.42,0
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",Lunch,501,22.5,2.62,0
"Chicken, broilers or fryers, breast, meat only, cooked, fried",Lunch,187,33.4,4.71,0.51
"Squab, (pigeon), meat only, raw",Snack,142,17.5,7.5,0
"Squab, (pigeon), light meat without skin, raw",Snack,134,21.8,4.52,0
"Turkey, whole, meat and skin, raw",Snack,602,21.6,5.64,0.14
"Turkey, whole, skin (light and dark), roasted",Snack,1920,23.9,39.3,0.57
"Turkey, whole, giblets, raw",Snack,124,18.2,5.09,0.07
"Turkey, whole, giblets, cooked, simmered",Snack,722,26.4,6.61,0
"Turkey, gizzard, all classes, raw",Snack,111,18.8,3.37,0
"Turkey, whole, neck, meat only, raw",Snack,125,16.5,6.04,0
"Turkey, whole, neck, meat only, cooked, simmered",Snack,679,22.5,7.36,0
"Turkey, whole, light meat, meat and skin, raw",Snack,161,22,7.43,0.15
"Turkey, whole, light meat, meat and skin, cooked, roasted",Snack,739,29.6,5.57,0.05
"Turkey, whole, dark meat, meat only, raw",Snack,108,21.3,2.5,0.15
"Turkey, whole, dark meat, cooked, roasted",Snack,723,27.7,6.04,0
"Turkey, all classes, back, meat and skin, cooked, roasted",Snack,244,26.6,14.4,0.16
"Turkey, all classes, breast, meat and skin, raw",Snack,157,21.9,7.02,0
"Turkey, all classes, wing, meat and skin, cooked, roasted",Snack,229,27.4,12.4,0
"Turkey, fryer-roasters, meat and skin, cooked, roasted",Snack,172,28.3,5.72,0
"Turkey, whole, back, meat only, raw",Snack,475,21.3,2.5,0.15
"Turkey, whole, back, meat only, cooked, roasted",Snack,173,27.7,6.04,0
"Turkey, whole, breast, meat only, raw",Snack,479,23.7,1.48,0.14
"Chicken, canned, meat only, with broth",Lunch,165,21.8,7.95,0
"Pate de foie gras, canned (goose liver pate), smoked",Snack,462,11.4,43.8,4.67
"Turkey, canned, meat only, with broth",Snack,169,23.7,6.86,1.47
"Turkey, diced, light and dark meat, seasoned",Snack,138,18.7,6,1
"Turkey sticks, breaded, battered, fried",Snack,279,14.2,16.9,17
"Poultry, mechanically deboned, from backs and necks with skin, raw",Snack,272,11.4,24.7,0
"Poultry, mechanically deboned, from backs and necks without skin, raw",Snack,199,13.8,15.5,0
"Poultry, mechanically deboned, from mature hens, raw",Snack,243,14.7,20,0
"Chicken, cornish game hens, meat and skin, cooked, roasted",Lunch,1080,22.3,18.2,0
"Chicken, cornish game hens, meat only, raw",Lunch,116,20,3.33,0
"Chicken, cornish game hens, meat only, cooked, roasted",Lunch,134,23.3,3.87,0
"Chicken, canned, no broth",Lunch,772,25.3,8.1,0.9
"Chicken, wing, frozen, glazed, barbecue flavored",Lunch,884,19.7,12.7,3.34
"Duck, young duckling, domesticated, White Pekin, leg, meat and skin, bone in, cooked, roasted",Snack,217,26.8,11.4,0
"Duck, young duckling, domesticated, White Pekin, leg, meat only, bone in, cooked without skin, braised",Snack,178,29.1,5.96,0
"Chicken, broiler, rotisserie, BBQ, drumstick, meat only",Lunch,719,27.7,6.76,0
"Chicken, wing, frozen, glazed, barbecue flavored, heated (conventional oven)",Lunch,242,22.2,14.9,3.36
"Chicken, ground, raw",Lunch,598,17.4,8.1,0.04
"Chicken, ground, crumbles, cooked, pan-browned",Lunch,189,23.3,10.9,0
"Chicken, broiler, rotisserie, BBQ, thigh, meat only",Lunch,193,24.1,10.7,0
"Chicken, feet, boiled",Lunch,215,19.4,14.6,0.2
"Chicken, broilers or fryers, rotisserie, original seasoning, thigh, meat only, cooked",Lunch,820,24.1,11.1,0
"Chicken, broilers or fryers, rotisserie, original seasoning, wing, meat only, cooked",Lunch,197,27.7,9.53,0
"Chicken, broilers or fryers, rotisserie, original seasoning, back, meat and skin, cooked",Lunch,1090,23.2,18.6,0.03
"Chicken, broilers or fryers, rotisserie, original seasoning, breast, meat and skin, cooked",Lunch,184,27.5,8.18,0.02
"Chicken, broiler, rotisserie, BBQ, back, meat and skin",Lunch,251,20.3,18.9,0.4
"Chicken, broiler, rotisserie, BBQ, breast, meat and skin",Lunch,175,26.4,7.67,0.09
"Chicken, broiler, rotisserie, BBQ, drumstick, meat and skin",Lunch,861,25.6,11.5,0.12
"Chicken, broiler, rotisserie, BBQ, thigh, meat and skin",Lunch,226,22.5,15.1,0.12
"Turkey, drumstick, from whole bird, meat only, with added solution, roasted",Snack,158,26.1,6,0
"Turkey, thigh, from whole bird, meat only, with added solution, raw",Snack,115,19.3,4.12,0.15
"Turkey, retail parts, breast, meat and skin, with added solution, raw",Snack,144,20.8,6.75,0.03
"Turkey, thigh, from whole bird, meat only, with added solution, roasted",Snack,663,26.1,6,0
"Turkey, retail parts, wing, meat and skin, raw",Snack,202,19.5,13.8,0.05
"Turkey, retail parts, wing, meat and skin, cooked, roasted",Snack,983,28.7,13.3,0.13
"Turkey, retail parts, drumstick, meat and skin, raw",Snack,141,20,6.84,0
"Turkey, retail parts, drumstick, meat and skin, cooked, roasted",Snack,825,28.2,9.37,0
"Turkey, drumstick, from whole bird, meat only, raw",Snack,109,23.7,1.48,0.14
"Turkey, retail parts, thigh, meat and skin, cooked, roasted",Snack,765,24,9.5,0.41
"Turkey, back, from whole bird, meat and skin, with added solution, raw",Snack,206,16.9,15.4,0.15
"Turkey, back, from whole bird, meat and skin, with added solution, roasted",Snack,860,25.8,11.4,0
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",Lunch,659,32.1,3.24,0
"Soup, black bean, canned, condensed",Snack,382,4.83,1.32,15.4
"Soup, bean with pork, canned, condensed",Snack,540,5.88,4.42,17
"Soup, bean with frankfurters, canned, condensed",Snack,594,7.6,5.31,16.8
"Soup, bean with ham, canned, chunky, ready-to-serve",Snack,397,5.19,3.5,11.2
"Soup, chicken, canned, chunky, ready-to-serve",Lunch,297,5.06,2.64,6.88
"Soup, cream of chicken, canned, condensed",Lunch,377,2.38,5.77,7.16
"Soup, chicken gumbo, canned, condensed",Lunch,188,2.1,1.14,6.67
"Soup, chunky chicken noodle, canned, ready-to-serve",Lunch,170,3.09,1.16,4.46
"Soup, chicken vegetable, canned, condensed",Lunch,255,2.94,2.32,7.01
"Soup, chili beef, canned, condensed",Lunch,489,5.09,2.53,18.9
"Soup, clam chowder, manhattan style, canned, chunky, ready-to-serve",Snack,234,3.02,1.41,7.84
"Soup, clam chowder, manhattan, canned, condensed",Snack,255,1.74,1.76,9.74
"Soup, minestrone, canned, condensed",Snack,285,3.48,2.05,9.17
"Soup, mushroom barley, canned, condensed",Snack,255,1.5,1.8,9.6
"Soup, cream of mushroom, canned, condensed",Snack,79,1.35,5.3,6.8
"Soup, mushroom with beef stock, canned, condensed",Lunch,285,2.51,3.21,7.41
"Soup, pea, split with ham, canned, condensed",Snack,590,7.68,3.28,20.8
"Soup, cream of potato, canned, condensed",Snack,74,1.51,1.88,12.8
"Soup, cream of shrimp, canned, condensed",Snack,301,2.22,4.14,6.53
"Soup, tomato beef with noodle, canned, condensed",Lunch,469,3.55,3.42,16.9
"Soup, vegetarian vegetable, canned, condensed",Snack,247,1.72,1.58,9.78
"Soup, chunky beef, canned, ready-to-serve",Lunch,277,3.97,1.11,10.1
"Soup, vegetable beef, canned, condensed",Lunch,264,4.45,1.51,8.11
"Soup, vegetable with beef broth, canned, condensed",Lunch,276,2.42,1.56,10.7
"Soup, onion, dry, mix",Snack,1230,7.48,0.34,65.1
"Soup, cream of vegetable, dry, powder",Snack,1870,8,24.1,52.1
"Sauce, teriyaki, ready-to-serve",Snack,371,5.93,0.02,15.6
"Gravy, au jus, canned",Snack,16,1.2,0.2,2.5
"Gravy, au jus, dry",Snack,1310,9.2,9.63,47.5
"Gravy, mushroom, canned",Snack,50,1.26,2.71,5.47
"Gravy, mushroom, dry, powder",Snack,1370,10,4,64.7
"Gravy, onion, dry, mix",Snack,1350,9,3,67.6
"Gravy, pork, dry, powder",Snack,1540,8.78,8.63,63.6
"Sauce, sofrito, prepared from recipe",Snack,237,12.8,18.2,5.46
"Soup, beef mushroom, canned, condensed",Lunch,255,4.6,2.4,5.2
"Soup, tomato, canned, prepared with equal volume water, commercial",Snack,32,0.71,0.21,7.45
"Soup, ramen noodle, any flavor, dry",Snack,1840,10.2,17.6,60.3
"Soup, broccoli cheese, canned, condensed, commercial",Snack,87,2.1,5.3,7.7
"Soup, SWANSON, beef broth, lower sodium",Lunch,6,1.2,0.08,0.21
"Soup, SWANSON, vegetable broth",Snack,24,0.23,0.07,1.02
"SMART SOUP, Indian Bean Masala",Snack,238,3.3,0.88,10.5
"SMART SOUP, Moroccan Chick Pea",Snack,51,2,1.06,9.7
"SMART SOUP, Thai Coconut Curry",Snack,151,0.8,1.06,6.5
"SMART SOUP, Vietnamese Carrot Lemongrass",Snack,44,1.3,1.06,8.2
"Sauce, pesto, MEZZETTA, NAPA VALLEY BISTRO, basil pesto, ready-to-serve",Snack,2080,6.69,49.9,5.12
