name,category,calories,protein,fat,carbs
"Apricots, canned, heavy syrup, drained",Snack,347,0.64,0.11,21.3
"Cherries, sour, canned, water pack, drained",Snack,174,0.69,0.21,10.4
"Cherries, sweet, canned, pitted, heavy syrup, drained",Snack,348,0.73,0.21,21.1
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",Snack,46,0.1,0.13,11.3
"Applesauce, canned, unsweetened, with added ascorbic acid",Snack,176,0.17,0.1,11.3
"Applesauce, canned, sweetened, with salt",Snack,76,0.18,0.18,19.9
"Grapefruit juice, pink, raw",Snack,39,0.5,0.1,9.2
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",Snack,47,0.14,0.1,11.5
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",Snack,63,0.39,0.16,15
"Pears, raw, red anjou",Snack,261,0.33,0.14,14.9
"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",Snack,67,0.36,0.09,16.1
"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",Snack,275,0.44,0.1,15.8
Prune puree,Snack,1080,2.1,0.2,65.1
Candied fruit,Snack,322,0.34,0.07,82.7
"Abiyuch, raw",Snack,69,1.5,0.1,17.6
"Rowal, raw",Snack,111,2.3,2,23.9
"Guava nectar, canned, with added ascorbic acid",Snack,262,0.09,0.06,16.2
"Mango nectar, canned",Snack,212,0.11,0.06,13.1
"Tamarind nectar, canned",Snack,57,0.09,0.12,14.7
"Pomegranate juice, bottled",Snack,228,0.15,0.29,13.1
"Nance, canned, syrup, drained",Snack,95,0.56,1.28,22.8
"Nance, frozen, unsweetened",Snack,73,0.66,1.16,17
"Naranjilla (lulo) pulp, frozen, unsweetened",Snack,103,0.44,0.22,5.9
Horned melon (Kiwano),Snack,44,1.78,1.26,7.56
Orange Pineapple Juice Blend,Snack,214,0.41,0.08,12.2
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",Snack,63,0.2,0.18,15.2
"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",Snack,203,0.68,0.12,11.5
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",Snack,63,0.42,0,15
"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",Snack,53,0.6,0.26,12.5
"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",Snack,194,0.63,0.02,10.9
"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",Snack,234,0.63,0.33,13
"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",Snack,52,0.44,0.3,12.4
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",Snack,48,0.12,0.17,11.5
"Lemon juice from concentrate, bottled, CONCORD",Snack,24,0.4,0.07,5.37
"Lemon juice from concentrate, bottled, REAL LEMON",Snack,73,0.47,0.07,5.66
"Cranberry sauce, whole, canned, OCEAN SPRAY",Snack,661,0.75,0.05,40.4
"Cranberry sauce, jellied, canned, OCEAN SPRAY",Snack,160,1.05,0.04,40.6
"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",Snack,183,0.5,0.1,10.5
Baobab powder,Snack,1040,3.69,0.47,79.6
"Cherry juice, tart",Snack,248,0.31,0.54,13.7
"Raspberries, puree, seedless",Snack,41,1.02,0.87,7.99
"Raspberries, puree, with seeds",Snack,230,1.1,0.97,11.5
"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",Snack,211,18.2,14.8,0
"Pork, fresh, backfat, raw",Snack,812,2.92,88.7,0
"Pork, fresh, belly, raw",Snack,518,9.34,53,0
"Pork, fresh, separable fat, raw",Snack,2640,9.25,65.7,0
"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",Snack,763,20.3,10.6,0
"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted",Snack,873,27,10.3,0
"Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)",Snack,120,21.8,2.93,0
"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted",Snack,690,28.9,4.62,0
"Pork, fresh, loin, whole, separable lean and fat, raw",Snack,198,19.7,12.6,0
"Pork, fresh, loin, whole, separable lean and fat, cooked, braised",Snack,239,27.2,13.6,0
